Date de création,Type,Catégorie,Équipe,Produit,Ligne,Famille,Défaut,Qte défaut,"Phase d'origine",Phase de détection
2025-04-16,Scrap,process,Matin,V420284 SIM ELEC,Sim Elec,SIM ELEC,boitier cassé,5,insertion automatique de s/e,insertion automatique de s/e
2025-04-16,Scrap,process,Matin,PPC GEN2 C,GEN2 Continue,GEN2 CONTINUE,soudure condo/EMC écrasé,2,Soudure électrique de 2 pattes condo et contact EMC,Controle Finale GENII C
2025-04-16,Scrap,process,Matin,PPC GEN2 C,GEN2 Continue,GEN2 CONTINUE,contact EMC déformé,1,Test électrique et controle caméra GENII C,Insertion contact EMC au platine
2025-04-16,Scrap,process,Matin,PPC MNG2 2L2C,Mng 2.1,MNG,plaquette cassée,1,soudure étain manuelle,soudure étain manuelle
2025-04-16,Scrap,process,Matin,PPC MNG2 2L2C,Mng 2.1,MNG,connecteur mal enclipsé,1,Poste de pose connecteur et pliage bornes,Poste de pose connecteur et pliage bornes
2025-04-16,Scrap,process,Matin,PPC GEN2 C,GEN2 Continue,GEN2 CONTINUE,condo mal plaqué,1,soudure électrique condo 1 & terminal 1,Test électrique et controle caméra GENII C
2025-04-16,Scrap,process,Matin,V420284 SIM ELEC,Sim Elec,SIM ELEC,boitier cassé,6,écartement balais,écartement balais
2025-04-16,Scrap,process,Matin,PPC GEN2 C,GEN2 Continue,GEN2 CONTINUE,condo mal plaqué,1,soudure électrique condo 1 & terminal 1,Test électrique et controle caméra GENII C
2025-04-16,Scrap,process,Matin,PPC GEN2 C,GEN2 Continue,GEN2 CONTINUE,contact EMC déformé,1,Test électrique et controle caméra GENII C,Insertion contact EMC au platine
2025-04-16,Scrap,process,Matin,PPC GEN2 C,GEN2 Continue,GEN2 CONTINUE,Murée cassé,2,sertissage guides GEN2 C,Test électrique et controle caméra GENII C
2025-04-16,Scrap,process,Matin,PPC GEN2 C,GEN2 Continue,GEN2 CONTINUE,soudure condo/EMC écrasé,2,Soudure électrique de 2 pattes condo et contact EMC,Controle Finale GENII C
2025-04-16,Scrap,formation,A Midi,PPC GEN2 C,GEN2 Continue,GEN2 CONTINUE,soudure condo/terminaux décalé,2,soudure électrique condo 1 & terminal 1,Controle Finale GENII C
2025-04-16,Scrap,process,Matin,PPC GEN2 C,GEN2 Continue,GEN2 CONTINUE,Camera vision,2,Test force GENIIC,Test force GENIIC
2025-04-16,Scrap,process,Matin,BC NEM II,NEM 2 dup,NEM2,boitier cassé,7,Enfonçage de la rotule sur le boîtier,
2025-04-16,Scrap,reglage,A Midi,SIM II,sim 2,SIM,boitier cassé,2,insertion rotule,insertion rotule
2025-04-16,Scrap,process,Matin,BC NEM II,NEM 2 dup,NEM2,marquage illisible,8,identification de pièce par marquage,identification de pièce par marquage
2025-04-16,Scrap,process,Matin,BC NEM II,NEM 2 dup,NEM2,patte de masse tordue,10,Boutollage PDM,Mise en place des ressorts
2025-04-16,Scrap,process,A Midi,VM4 Tower,VM4 Partie A,VM4,Tour brûlée,5,robot  de brasage,robot  de brasage
2025-04-16,Scrap,process,A Midi,VM4 Tower,VM4 Partie A,VM4,connexion déformée,2,robot  de brasage,CF PA
2025-04-16,Scrap,reglage,A Midi,ligne 2,Preparation CM4,CM4,Boitier endommagée,1,sertissage automatique de 2 inserts+patte de masse,retournement
2025-04-16,Scrap,process,A Midi,ligne 2,Preparation CM4,CM4,Contact endommagé,2,sertissage automatique de 2 inserts+patte de masse,retournement
2025-04-16,Scrap,process,A Midi,PPC GEN2 C,GEN2 Continue,GEN2 CONTINUE,Murée cassé,1,soudure électrique balais 1 et self 1,soudure électrique balais 1 et self 1
2025-04-16,Scrap,reglage,A Midi,Préparation CM3 réf 779,Preparation CM3,CM3,Boitier endommagé,9,Sertissage automatique des pin 1&3&PDM,Retournement
2025-04-16,Scrap,process,A Midi,PPC GEN2 C,GEN2 Continue,GEN2 CONTINUE,Effort ressort non conforme,1,Test force GENIIC,Test force GENIIC
2025-04-16,Scrap,process,A Midi,PPC GEN2 C,GEN2 Continue,GEN2 CONTINUE,soudure condo/terminaux écrasé,2,soudure électrique condo 1 & terminal 1,Controle Finale GENII C
2025-04-16,Scrap,process,A Midi,PPC GEN2 C,GEN2 Continue,GEN2 CONTINUE,Terminal déformé,1,sertissage guides GEN2 C,soudure self terminals
2025-04-16,Scrap,formation,A Midi,PPC GEN2 C,GEN2 Continue,GEN2 CONTINUE,soudure condo/terminaux décalé,1,soudure électrique condo 1 & terminal 1,Controle Finale GENII C
2025-04-16,Scrap,process,A Midi,PPC GEN2 C,GEN2 Continue,GEN2 CONTINUE,contact négatif déformé,1,sertissage guides GEN2 C,soudure balais 3 et PTH
2025-04-16,Scrap,process,A Midi,PPC GEN2 C,GEN2 Continue,GEN2 CONTINUE,contact EMC déformé,1,sertissage guides GEN2 C,Test électrique et controle caméra GENII C
